[2022-03-17T13:53:48.322Z] error /api/pruebaOracle/prueba
[Mar-17-2022 10:02:55] error error
[Mar-17-2022 10:04:03] error [object Object]
[Mar-17-2022 10:04:19] error [object Object]
[Mar-17-2022 10:04:55] error sadsadsa
[Mar-17-2022 10:21:44] error ORA-01407: cannot update ("GANADERO"."CLIENTES_PRUEBA"."NAME") to NULL
[Mar-17-2022 10:23:30] error ORA-01407: cannot update ("GANADERO"."CLIENTES_PRUEBA"."NAME") to NULL
[Mar-17-2022 10:23:41] error ORA-01407: cannot update ("GANADERO"."CLIENTES_PRUEBA"."NAME") to NULL
[Mar-17-2022 10:24:34] error ORA-01407: cannot update ("GANADERO"."CLIENTES_PRUEBA"."NAME") to NULL
[Mar-17-2022 10:26:19] error ORA-01407: cannot update ("GANADERO"."CLIENTES_PRUEBA"."NAME") to NULL
[Mar-21-2022 11:12:06] error ORA-01722: invalid number
[🔔 Mar-21-2022 11:50:18] error 	undefined
[🔔 Mar-22-2022 11:15:33] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:16:51] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:16:51] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:17:33] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:17:33] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:18:36] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:18:36] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:18:57] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:18:57] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:19:05] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:19:05] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:27:20] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 11:34:21] error 	Error en al conexion a la base de datos undefined undefined undefined Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:34:21] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 11:34:21] error 	Error en al conexion a la base de datos undefined undefined undefined Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:45:06] error 	Error en al conexion a la base de datos undefined undefined undefined Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:45:17] error 	Cannot read property 'execute' of undefined
[🔔 Mar-22-2022 11:46:27] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:47:16] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:48:13] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-22-2022 11:48:46] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-22-2022 11:49:07] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:49:35] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:49:35] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 11:49:35] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:49:57] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:49:57] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 11:49:57] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:50:10] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 11:50:10] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:50:10] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:52:19] error 	Error en al conexion a la base de datos undefined undefined undefined Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:52:48] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:54:20] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 11:58:09] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 11:58:09] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 11:58:52] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 11:58:52] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 12:00:08] error 	connection.execute is not a function
[🔔 Mar-22-2022 12:00:28] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 12:00:28] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:05:47] error 	NJS-003: invalid connection
[🔔 Mar-22-2022 13:14:12] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:14:12] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:16:00] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:16:00] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:32:19] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:32:19] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:34:23] error 	ORA-01722: invalid number
[🔔 Mar-22-2022 13:34:23] error 	Parametro de eliminacion incorrecto: 4wqd
[🔔 Mar-22-2022 13:36:20] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:36:20] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:36:32] error 	NJS-003: invalid connection
[🔔 Mar-22-2022 13:36:32] error 	Parametro de eliminacion incorrecto: 6
[🔔 Mar-22-2022 13:36:48] error 	NJS-003: invalid connection
[🔔 Mar-22-2022 13:37:17] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:37:17] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:38:19] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:38:19] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:38:49] error 	NJS-003: invalid connection
[🔔 Mar-22-2022 13:39:12] error 	NJS-003: invalid connection
[🔔 Mar-22-2022 13:41:24] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:41:24] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:42:06] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:42:06] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:48:42] error 	NJS-046: poolAlias "BGPOOL" already exists in the connection pool cache
[🔔 Mar-22-2022 13:48:42] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 13:49:43] error 	ORA-00001: unique constraint (GANADERO.SYS_C00860913) violated
[🔔 Mar-22-2022 14:04:19] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: this.conexion.getConnection is not a function
[🔔 Mar-22-2022 16:12:10] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB TypeError: Cannot read property 'getConnection' of undefined
[🔔 Mar-22-2022 16:13:32] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 16:14:07] error 	Error en al conexion a la base de datos GANADERO GANADERO 172.16.1.23:1521/BGDB Error: NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-22-2022 16:18:11] error 	Cannot read property 'execute' of undefined
[🔔 Mar-22-2022 16:23:16] error 	Cannot read property 'execute' of undefined
[🔔 Mar-22-2022 16:25:07] error 	Cannot read property 'resultSet' of undefined
[🔔 Mar-22-2022 16:29:15] error 	Cannot read property 'execute' of undefined
[🔔 Mar-22-2022 16:29:35] error 	Cannot read property 'execute' of undefined
[🔔 Mar-23-2022 10:16:36] error 	ORA-00942: table or view does not exist
[🔔 Mar-23-2022 10:16:51] error 	ORA-00942: table or view does not exist
[🔔 Mar-23-2022 10:17:03] error 	ORA-00942: table or view does not exist
[🔔 Mar-23-2022 10:46:11] error 	Creacion del pool connections NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-23-2022 10:46:12] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-23-2022 10:46:25] error 	Creacion del pool connections NJS-047: poolAlias "BGPOOL" not found in the connection pool cache
[🔔 Mar-23-2022 10:47:31] error 	Creacion del pool connections NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 10:48:14] error 	Creacion del pool connections NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 10:49:37] error 	Creacion del pool connections NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 10:49:37] error 	Error al ejecuta la sentencia this.connection.getConnection is not a function
[🔔 Mar-23-2022 10:58:10] error 	Creacion del pool connections NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 10:58:10] error 	Error al ejecuta la sentencia Cannot read property 'getConnection' of undefined
[🔔 Mar-23-2022 10:59:05] error 	Creacion del pool connections NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 10:59:05] error 	Error al ejecuta la sentencia Cannot read property 'getConnection' of undefined
[🔔 Mar-23-2022 11:02:34] error 	Creacion del pool connections NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 11:03:03] error 	Conexion.querySelect is not a function
[🔔 Mar-23-2022 11:07:36] error 	Creacion del pool connections NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 11:12:40] error 	Creacion del pool connections NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 11:24:59] error 	NJS-047: poolAlias "default" not found in the connection pool cache
[🔔 Mar-23-2022 11:28:48] error 	NJS-047: poolAlias "hrpool" not found in the connection pool cache
[🔔 Mar-23-2022 11:34:09] error 	Error al ejecuta la sentencia logger.warning is not a function
[🔔 Mar-23-2022 11:34:26] error 	Creacion del pool connections
[🔔 Mar-23-2022 13:53:06] error 	Error al ejecutar la sentencia: INSERT INTO CLIENTES_PRUEBA (ID, NAME, AGE, ADDRESS, SALARIO) VALUES (:1, :2, :3, :4, :5) ORA-01400: cannot insert NULL into ("GANADERO"."CLIENTES_PRUEBA"."ID")
[🔔 Mar-23-2022 13:53:29] error 	Error al ejecutar la sentencia: INSERT INTO CLIENTES_PRUEBA (ID, NAME, AGE, ADDRESS, SALARIO) VALUES (:1, :2, :3, :4, :5) ORA-01400: cannot insert NULL into ("GANADERO"."CLIENTES_PRUEBA"."NAME")
[🔔 Mar-23-2022 15:44:10] error 	Error al ejecuta la sentencia ORA-12541: TNS:no listener
[🔔 Mar-23-2022 15:44:26] error 	sql is not defined
[🔔 Mar-23-2022 15:44:26] error 	Parametro de eliminacion incorrecto: 8
[🔔 Mar-23-2022 15:44:52] error 	Error al ejecuta la sentencia ORA-12541: TNS:no listener
[🔔 Mar-25-2022 10:45:17] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:45:51] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:46:27] error 	sql is not defined
[🔔 Mar-25-2022 10:46:27] error 	Parametro de eliminacion incorrecto: 6
[🔔 Mar-25-2022 10:48:49] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:49:53] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:50:09] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:50:52] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:54:19] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:54:25] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:54:35] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:55:00] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:56:04] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 10:56:14] error 	sql is not defined
[🔔 Mar-25-2022 10:56:14] error 	Parametro de eliminacion incorrecto: 6
[🔔 Mar-25-2022 10:56:39] error 	Error al ejecuta la sentencia ORA-12518: TNS:listener could not hand off client connection
[🔔 Mar-25-2022 11:38:24] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:39:06] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:40:04] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:40:41] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:40:41] error 	next is not a function
[🔔 Mar-25-2022 11:41:34] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:41:47] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:41:47] error 	next is not a function
[🔔 Mar-25-2022 11:42:22] error 	next is not a function
[🔔 Mar-25-2022 11:43:33] error 	next is not a function
[🔔 Mar-25-2022 11:44:07] error 	next is not defined
[🔔 Mar-25-2022 11:48:33] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:49:46] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:50:07] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:50:32] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:50:40] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:50:49] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-25-2022 11:51:34] error 	Error al ejecuta la sentencia ORA-00942: table or view does not exist
[🔔 Mar-29-2022 11:25:52] error 	Error en el controller Cannot destructure property 'EMAIL' of 'result' as it is undefined.
[🔔 Mar-29-2022 11:42:16] error 	Error en el controller req.body is not a function
[🔔 Mar-29-2022 13:50:53] error 	Error en el controller next is not a function
[🔔 Mar-29-2022 13:51:36] error 	Error en el controller res is not defined
[🔔 Mar-29-2022 13:51:48] error 	Error en el controller Cannot read property 'status' of undefined
[🔔 Mar-29-2022 13:54:41] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-29-2022 13:54:57] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-29-2022 13:56:22] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-29-2022 14:08:41] error 	Error en el controller invalid expiresIn option for string payload
[🔔 Mar-29-2022 14:10:23] error 	Error en el controller Invalid status code: { EMAIL: 'cristhian@bg.com.bo', PASSWORD: '12345678' }
[🔔 Mar-29-2022 14:10:51] error 	Error en el controller Invalid status code: { EMAIL: 'cristhian@bg.com.bo', PASSWORD: '12345678' }
[🔔 Mar-30-2022 15:54:33] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:31:39] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:32:08] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:32:41] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:33:25] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:45:20] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:45:20] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:46:21] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:46:21] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:47:22] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:47:23] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:48:26] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 09:48:26] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 14:54:20] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 15:20:34] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 15:29:03] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 16:44:36] error 	Error en el controller Cannot set headers after they are sent to the client
[🔔 Mar-31-2022 22:59:52] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:01:53] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:01:54] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:01:55] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:01:55] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:01:56] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:01:57] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:02:22] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:02:45] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:02:47] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:02:47] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:02:50] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:02:51] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:02:51] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:03:14] error 	Èrror al ejecutar la sentencia NJS-046: poolAlias "default" already exists in the connection pool cache
[🔔 Mar-31-2022 23:03:14] error 	Èrror al ejecutar la sentencia NJS-046: poolAlias "default" already exists in the connection pool cache
[🔔 Mar-31-2022 23:03:14] error 	Èrror al ejecutar la sentencia NJS-046: poolAlias "default" already exists in the connection pool cache
[🔔 Mar-31-2022 23:03:14] error 	Èrror al ejecutar la sentencia NJS-046: poolAlias "default" already exists in the connection pool cache
[🔔 Mar-31-2022 23:03:14] error 	Èrror al ejecutar la sentencia NJS-046: poolAlias "default" already exists in the connection pool cache
[🔔 Mar-31-2022 23:03:14] error 	Èrror al ejecutar la sentencia NJS-046: poolAlias "default" already exists in the connection pool cache
[🔔 Mar-31-2022 23:05:36] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:06:10] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:29:50] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Mar-31-2022 23:30:55] error 	Èrror al ejecutar la sentencia NJS-046: poolAlias "default" already exists in the connection pool cache
[🔔 Apr-01-2022 10:55:51] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 10:56:06] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 10:56:06] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 10:56:07] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:01:27] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:03:10] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:03:10] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:03:12] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:03:30] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:03:30] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:03:30] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:03:30] error 	Error al ejecuta la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:04:19] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:04:19] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:04:19] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
[🔔 Apr-01-2022 11:04:30] error 	Èrror al ejecutar la sentencia NJS-040: connection request timeout. Request exceeded queueTimeout of 60000
